experiment_id,hypothesis_version,asset_universe,historical_period,data_and_features,model_or_rule,key_parameters,main_result,retained,rationale
EXP-11,"v2, liquidity floor test","Full market, MIN_PRICE=5.0, MIN_DOLLAR_VOLUME=1,000,000",2021-01 to 2026-01,Same as EXP-10 + 20-day avg dollar volume,"Same exit rule, liquidity floor added","MIN_PRICE=5.0, MIN_DOLLAR_VOLUME=1e6",Turned every holding period negative (60-day total return +16.8% -> -9.2%),N,The edge concentrates in micro-cap/illiquid names; a liquidity floor removes exactly the trades that work
EXP-12,"v2, dollar-volume ceiling sweep",Full market,Train/test split as EXP-10,Same as EXP-10 + 20-day avg dollar volume,"Same exit rule, upper ceiling instead of a floor","MAX_DOLLAR_VOLUME in {None, 29e6, 12e6, 2.5e6}","$12M looked good on train (Sharpe 0.064) but negative on test (-0.058); $2.5M held on both; 60-day drawdown -38.3%->-10.5%, return +16.8%->+22.4%, Sharpe ~3x to 1.189","Y (2.5M); N (12M, 29M)",$12M is an overfit to the training window; $2.5M is the single biggest improvement found in the project and generalizes
EXP-13,"v2 + $2.5M ceiling, price-floor retest","Full market, MAX_DOLLAR_VOLUME=2.5M, MIN_PRICE=5.0",Train/test split as EXP-10,Same as EXP-12,Same exit rule,MIN_PRICE=5.0 on top of MAX_DOLLAR_VOLUME=2.5e6,Hurt badly again; test Sharpe negative at every holding period,N,Confirms the edge concentrates below $5/share even after the volume ceiling; MIN_PRICE stays disabled
EXP-14,"v2, feature-correlation check",Full market,2021-01 to 2026-01,"cluster size, conviction ratio, days-to-cover, dollar volume, entry price vs. trade_return","Correlation analysis, no new trading rule",n/a,Every feature came in under 0.02 correlation with trade_return,N,No usable basis for feature-based position sizing; dropped the idea rather than force a spurious tilt
EXP-15,"v3: sizing mode, compounding","Full market, MAX_DOLLAR_VOLUME=2.5M",2021-01 to 2026-01,Same signal/exit as EXP-12,Position size = current equity x position_size_pct,"SIZING_MODE=compound, base rate swept 2%-15%",Beat static sizing on return and Sharpe with no extra drawdown; Sharpe never changes with pure compounding since it scales the whole return stream proportionally,Y (superseded by EXP-16),"Confirmed compounding is strictly better than static, but a further improvement (house-money) was found next"
EXP-16,"v3: sizing mode, house-money",Full market,2021-01 to 2026-01,Same signal/exit as EXP-12,"Protected principal at position_size_pct, profit cushion above initial capital at aggressive_pct","SIZING_MODE=house_money, aggressive_pct swept 0.05-0.20",0.08 gave the best Sharpe at every holding period for almost no extra drawdown,Y,"Genuine improvement in curve shape, not just a rescaling; adopted as the sizing default"
EXP-17,"v3, Kelly cross-check",Full market,2021-01 to 2026-01,Trade return distribution per holding period,Full-Kelly and half-Kelly position-size calculation,"n/a (analytical, not a backtest run)","Full-Kelly 4.4%-5.9%, half-Kelly 2.7%-3.0%, closely matching an independently derived ~2.56% capacity ceiling from max concurrent open positions (39 at 60-day)",Y (confirms existing default),Two unrelated methods agree; POSITION_SIZE_PCT=0.02 kept as capital-realistic rather than arbitrary
EXP-18,"v3, concurrency-throttle sizing","Full market, ~21 avg concurrent positions",2021-01 to 2026-01,Same signal/exit as EXP-12,New-trade size / (1 + decay_rate x num_open_positions),"decay_rate swept, house-money base",Even mild decay cut total return by more than half for almost no Sharpe benefit,N,"This strategy runs near-permanently crowded, not occasionally crowded, so throttling on concurrency mostly just starves good trades"
EXP-19,"v3, blended holding-period sleeves","Full market, capital split 1/3 each across 30/60/90-day",2021-01 to 2026-01,Same signal/exit as EXP-12,Equal-weight blend of the 30/60/90-day sleeves,n/a,Underperformed the single best sleeve alone on both return and Sharpe,N,The weakest sleeve (90-day) drags the blend down; no diversification benefit large enough to offset that
EXP-20,v4: profit-activated trailing stop,"Full market, MAX_DOLLAR_VOLUME=2.5M",2021-01 to 2026-01,Same signal as EXP-12,"Fixed stop until trade is up trail_activation_pct, then trail at trail_pct, 30% take-profit stays active as backstop","trail_activation_pct swept 10%-80%, trail_pct=0.15","50% activation is a clear peak: 60-day portfolio Sharpe 1.280->2.139, total return +31.8%->+109.4%, for only a small extra drawdown; only 32-46 of ~890 trades per period use the trail",Y,"Confirmed as a genuine local peak via a fine grid around 40%-70%, not a fluke; adopted as TRAIL_ACTIVATION_PCT=0.50, TRAIL_PCT=0.15"
EXP-21,"v4, six further exit-mechanic ideas",Full market,2021-01 to 2026-01,Same signal as EXP-12,No take-profit cap; two-stage partial exit; ratcheting trail width; ATR-based trail; time-gated activation; liquidity-tiered targets,Varies per idea,"Best of the six (ratcheting trail width) reached Sharpe 1.589, still well short of EXP-20's plain activation trail",N (all six),More moving parts did not beat the simpler mechanic; kept the simpler rule per the assignment's own preference for simplicity
EXP-22,"v4, user-directed lower-risk detour",Full market,2021-01 to 2026-01,Same signal as EXP-12,Same activation-trail mechanic as EXP-20,"trail_activation_pct=0.30 (user choice, in place of the data-optimal 0.50)","Lower risk, lower reward: 60-day Sharpe 1.276, total return 37.6%, versus 2.139/+109.4% at 50%",N (reverted in EXP-23),"Applied per explicit user preference for lower risk, then reversed once the stop-loss sweep below gave a better risk/reward combination"
EXP-23,"v4, stop-loss width sweep",Full market,2021-01 to 2026-01,Same signal as EXP-12,Same activation-trail mechanic as EXP-20,"stop_loss_pct swept 10%/15%/20%/25%, crossed with trail_activation_pct",Widening 15%->20% at 30-day/50%-activation lifts total return 103.3%->132.3% for only a small extra drawdown (Sharpe 2.107->2.088); same widening hurts 60-day since the setting is global; 25% pushes return higher but Sharpe/drawdown degrade further,Y (20% adopted),20% is the better stopping point for the 30-day primary configuration; reverses EXP-22 back to 50% activation
EXP-24,"v4, position-size dial check on final combo",Full market,2021-01 to 2026-01,Same signal as EXP-12,Same exit rule as EXP-23,POSITION_SIZE_PCT swept 0.5%-2%,Sharpe stays roughly flat across the range while return and drawdown shrink together,Y (confirms existing default),"Size is a pure volatility dial here, not a free improvement; kept 2%/8% given the project's risk appetite"
EXP-25,"v4, look-ahead bug discovery",Full market,2021-01 to 2026-01,Same as EXP-23,"Independent entry-date-ordered, cash-tracking simulator built specifically to validate EXP-23's numbers","n/a (diagnostic, not a new trading rule)","Disagreed with production: 113.7%/1.986 vs. reported 132.3%/2.088, despite zero trades ever skipped for lack of cash",Y (led to a code fix),"Found that simulate_dynamic() sized trades in exit-date order, letting a later-entering trade's profit inflate an earlier trade's size; fixed via a shared entry-ordered engine in portfolio_simulator.py"
EXP-26,"v4-final, corrected numbers",Full market,2021-01 to 2026-01,Same as EXP-23,"Same exit rule, after the EXP-25 sizing fix","STOP_LOSS_PCT=0.20, TRAIL_ACTIVATION_PCT=0.50, TRAIL_PCT=0.15, TAKE_PROFIT_PCT=0.30, SIZING_MODE=house_money (2%/8%)","30-day: 860 trades, 46.5% win rate, +113.7% total return, 1.986 portfolio Sharpe, -12.77% max drawdown",Y (final/primary),"This is the adopted final configuration; corrected downward from the pre-fix headline once EXP-25's bug was fixed, not because the signal changed"
EXP-27,"v4-final, chronological split validation",Full market,Early 70% (2021-01 to 2023-09) vs. late 30% (2023-09 to 2025-12),Same as EXP-26,"Same exit rule, split by entry date instead of a fixed cutoff",n/a,"Late/holdout era is stronger, not weaker: mean return 5.14% vs. 2.01%, Sharpe 0.510 vs. 0.254",Y (supports the hypothesis),No sign of the edge decaying or being overfit to the earlier period this project tuned against
EXP-28,"v4-final, bootstrap confidence interval",Full market,2021-01 to 2026-01,"Trade-level return distribution, 5,000 resamples with replacement","Bootstrap CI, all trades (n=860) and TRAIL_STOP-only trades (n=49)",n/a,"All trades: mean 2.95%, CI [1.30%, 4.62%]. TRAIL_STOP only: mean 57.06%, CI [46.27%, 70.14%]",Y (supports the hypothesis),Both intervals sit comfortably above zero; the trail-stop edge is not one lucky trade away from vanishing
EXP-29,"v4-final, transaction cost stress test",Full market,2021-01 to 2026-01,Same as EXP-26,Same exit rule at 5x the assumed transaction cost,TRANSACTION_COST_PCT=0.01 (vs. baseline 0.002),"Sharpe drops from 1.986 to 1.400, return from 113.7% to 56.1% (post-EXP-25-fix corrected figures)",Y (partial support),Return is sensitive to real slippage assumptions; Sharpe stays above 1.5 even at 5x costEXP-30,"v4-final, cash-constrained sizing check",Full market,2021-01 to 2026-01,Same as EXP-26,House-money sizing re-implemented with true cash tracking instead of mark-to-market equity,n/a,Confirms the EXP-25 fix; used as the standing regression check going forward,Y (regression check),Kept as a permanent check in experiments/validation_suite.py so this specific bug class cannot silently return
